
tweet_date,tweet_id,tweet_source,tweet_user,tweet_user_location,tweet_user_follower,tweet_user_friends,tweet_user_nstatuses,tweet_hashtags,tweet_mentions,tweet_text
2019-06-01 10:18:05,1134766055824347136,Twitter for Android,cacihmalaka,,638,1292,2022,DoaBersamaTragedi2122Mei DoaBersamaTragedi2122Mei,Niputujelantik sukasukaskip Dio_Nzee,setuju bebaskan indonesia dari jeratan cina komunis 
2019-06-01 10:14:08,1134765060553752576,Twitter for Android,uyab_mihaf,,15,26,1374,DoaBersamaTragedi2122Mei,,kita adalah makhluk langit kenapa biarkan terkungkung dunyå rumi kau dilahirkan dengan sayap kenapa mesti merayap dalam hidup rumi
2019-06-01 10:12:36,1134764677794226177,Twitter for Android,Ssnart1,"DKI Jakarta, Indonesia",604,1018,1470,DoaBersamaTragedi2122Mei,ummuRDzA22 Abengridwan81 ordinarywomen_ amir4722 Hidayat12317 ayesha_evi Arul37308011 toappemanu_opu bayubakrie Noviana82639396 Lolita64598051 arlisinagol21,siap folbek
2019-06-01 10:10:32,1134764157910151168,Twitter for Android,rendyrhmn,pontianak,402,891,1840,DoaBersamaTragedi2122Mei,RRabrusun prabowo sandiuno,waalaikum salam wrwb
2019-06-01 10:09:42,1134763947049881600,Twitter for Android,Hendrian_Rahman,"Bandung, Indonesia",499,701,236,DoaBersamaTragedi2122Mei,,bpk kok gitu ditanya dalang kerusuhan 22 mei bapak suruh kita tanya menkopolhukam masak ia kita mesti tanya ke bapak benda apa aja yang ada sewaktu bapak di dalam got biar bisa dijawab 
2019-06-01 09:54:51,1134760209153290240,Twitter for Android,udin_nsp1,,322,1755,6789,InternationalCriminalCourtSOS DoaBersamaTragedi2122Mei Emak2Anak2JadiTumbal,aburasyid13,ada apa pada negeri ku fitnah2 caki maki sumpah serapah bertaburan di setiap medsos pertanyaan nysejak kapan ini terjadisampai kapan ini akan berlangsung 
2019-06-01 09:47:43,1134758413013929990,Twitter for Android,ArisSet18676370,,43,183,321,DoaBersamaTragedi2122Mei IbuAniHusnulKhatimah,prabowo aziz_ua,turut berduka semoga ibu ani khusnul khatimahaamiin 
2019-06-01 09:46:24,1134758081340985344,Twitter for Android,farmproxy,,488,736,804,DoaBersamaTragedi2122Mei DoaBersamaTragedi2122Mei,,wah maaf teteh baru follow 
2019-06-01 09:39:45,1134756410883883009,Twitter for Android,tahrizy,"Agam, Sumatera Barat",145,320,2524,DoaBersamaTragedi2122Mei,MichelAdamNew,prestasi lbp g berani terjun payung
2019-06-01 09:35:44,1134755398492123136,Twitter for Android,Sifa77599186,,9,23,219,DoaBersamaTragedi2122Mei DoaBersamaTragedi2122Mei,rizqi_property msaid_didu,kita menyatu semakin kuat 
2019-06-01 09:33:56,1134754945557680128,Twitter for Android,WanAbdulKarimL1,Indonesia,1300,1359,358,DoaBersamaTragedi2122Mei,RedWhite1945,folbek
2019-06-01 09:15:24,1134750283131527169,Twitter for Android,Tedy90400662,"Bogor, Jawa Barat",60,121,456,DoaBersamaTragedi2122Mei DoaBersamaTragedi2122Mei,rizqi_property msaid_didu,semoga mereka yang berbuat kejam mendaptkan balasan yg nyata di dunia
2019-06-01 09:09:56,1134748906951069696,Twitter for Android,acretta,Indonesia,175,692,1486,PurnawirawanTNIBersamaRakyat PrabowoJanganTemuiJokowi JokowiMundurlah JokowiPelanggarHAM DoaBersamaTragedi2122Mei,,seisi negri menjadi dungu 
2019-06-01 08:56:16,1134745466397048833,Twitter for Android,Lastronin6,,7,51,79,DoaBersamaTragedi2122Mei DoaBersamaTragedi2122Mei,,ya alloh di saksikan langit tujuh dan bumi tujuh ya alloh raja sudah menunjukan kekuasaanya maka tunjukkan kekuasanmuhancurkan kecurangan dan ke dzoliman penguasa 
2019-06-01 08:53:21,1134744733660565504,Twitter for Android,2RFH3CLB23GpsBG,,109,234,51,DoaBersamaTragedi2122Mei DoaBersamaTragedi2122Mei,MichelAdamNew,di jaman rezim kodok tol semakin membuat masyarakat tollol 
2019-06-01 08:37:30,1134740745343004672,Twitter Web App,shidayat_alqus,,3407,3103,2620,DoaBersamaTragedi2122Mei,Etam394gmailco1 MichelAdamNew,udah follback duluan dek 
2019-06-01 08:33:09,1134739650969346048,Twitter for Android,AndriyDreamer,,95,148,1511,DoaBersamaTragedi2122Mei StopKriminalisasiParaPurnawirawan,Orang_Atjeh ErfanMaada,pake ngayal biar bisa loncat loncat  
2019-06-01 08:30:38,1134739014915768320,Twitter for Android,AndriyDreamer,,95,148,1511,DoaBersamaTragedi2122Mei StopKriminalisasiParaPurnawirawan,MichelAdamNew,begitulah beda nya manusia di beri otak untuk berpikir bukan di beri otak hanya untuk kekuasaan 
2019-06-01 08:28:51,1134738565332492288,Twitter for Android,AndriyDreamer,,95,148,1511,DoaBersamaTragedi2122Mei StopKriminalisasiParaPurnawirawan,loembok,wait 100 waduh makin bisa seenaknya dong sama tuan rumah 
2019-06-01 08:26:55,1134738080949104640,Twitter for Android,AndriyDreamer,,95,148,1511,DoaBersamaTragedi2122Mei StopKriminalisasiParaPurnawirawan,aagunawan,cebong kelelep gak punya ongkos buat naik kaya nye  
2019-06-01 08:25:04,1134737613930225664,Twitter for Android,AndriyDreamer,,95,148,1511,DoaBersamaTragedi2122Mei StopKriminalisasiParaPurnawirawan,ZamzamiHaykal ErfanMaada,mingkem dah cebong kalo soal nya seperti ini  
2019-06-01 08:24:03,1134737358341922816,Twitter for Android,AndriyDreamer,,95,148,1511,DoaBersamaTragedi2122Mei StopKriminalisasiParaPurnawirawan,IsmailRojali azumi_tsuyoshie ErfanMaada,cocok  
2019-06-01 08:23:18,1134737171238096896,Twitter for Android,AndriyDreamer,,95,148,1511,DoaBersamaTragedi2122Mei DoaBersamaTragedi2122Mei,AndiArief__ AndiArief__,innalilahi wainnailahirojiunsemoga husnul khatimah dan keluarga di tinggalkan diberi kesabaran dan ketabahan aamiinalfatihahjangan lupa bung mohon doa nya juga untuk korban aksi damai 2122alfatihah 
2019-06-01 08:20:23,1134736437352357888,Twitter for Android,AndriyDreamer,,95,148,1511,DoaBersamaTragedi2122Mei StopKriminalisasiParaPurnawirawan,hmskaban EtikaMalasari,entar jawab nya jangan tanya sayaapa itu solusi seorang pemimpin  
2019-06-01 08:18:41,1134736007272718336,Twitter for Android,AndriyDreamer,,95,148,1511,DoaBersamaTragedi2122Mei StopKriminalisasiParaPurnawirawan,prabowo,alfatihah 
2019-06-01 08:17:59,1134735832693190657,Twitter for Android,AndriyDreamer,,95,148,1511,DoaBersamaTragedi2122Mei StopKriminalisasiParaPurnawirawan,naviza_ava,wak waw ya udeh puja puja puja aje terus  
2019-06-01 08:16:41,1134735507110354944,Twitter for Android,AndriyDreamer,,95,148,1511,DoaBersamaTragedi2122Mei StopKriminalisasiParaPurnawirawan,JD80Batavia94_2 ErfanMaada,maksa banget tuntaskan dulu kasus korban anggota kpps dan massa aksi damai 2122 itu baru keren 
2019-06-01 08:13:43,1134734757554675712,Twitter Web Client,HaluanKita,Indonesia,1605,1520,5969,PrabowoIroni DoaBersamaTragedi2122Mei,,prabowo yang kalah kenapa jokowi yang harus mengalah tangkap jenderal kerdus 
2019-06-01 08:13:05,1134734598657626112,Twitter for Android,AndriyDreamer,,95,148,1511,DoaBersamaTragedi2122Mei StopKriminalisasiParaPurnawirawan,AdvokatlK axdwin,maaf pak mungkin foto asli bapak belum pernah di curi dan di fitnah akun lain dengan menggunakan foto bapak salam santun dari orang biasa  
2019-06-01 08:12:35,1134734472740368384,Twitter for Android,MungNurut,,120,471,3673,DoaBersamaTragedi2122Mei,geloraco,monggo yen nekat
2019-06-01 08:10:51,1134734036906070021,Twitter for Android,ArisSet18676370,,43,183,321,DoaBersamaTragedi2122Mei IbuAniHusnulKhatimah,RedWhite1945,follback yah 
2019-06-01 08:10:09,1134733861051482112,Twitter for Android,AndriyDreamer,,95,148,1511,DoaBersamaTragedi2122Mei StopKriminalisasiParaPurnawirawan,axdwin,pengalaman pribadi yang telah terjadi jika menggunakan foto asli cebong ambil dan mulai menebar fitnah dengan foto kitagak tau kalo yang lain kalo saya itu aje bang  
2019-06-01 08:09:26,1134733678980894721,Twitter Web App,shidayat_alqus,,3407,3103,2620,DoaBersamaTragedi2122Mei,Yuki140288,yahh syedihh dah apan saya kasih caption biar senyumhiks 
2019-06-01 08:08:05,1134733343042392064,Twitter for Android,AndriyDreamer,,95,148,1511,DoaBersamaTragedi2122Mei StopKriminalisasiParaPurnawirawan,Kapamenan6 MichelAdamNew murany16_ dr_koko28 azumi_tsuyoshie asdwin007 AndalasPeople fadlizon arfinfauzi2 fayd3lla syafrinkar UsbinDunda72 UncleDhi kanseulir wahyuvampire IsmanTengku Prof_Tamburin Bayazid2552 NugrahaIrwin mbazly76 natsiradnan ijoeeeel Fahrihamzah haikal_hassan loembok lilikwb,olivefendermu wak wawbegitulah cara cebong memilih mo salah mo ngibul die dengan riang membela  
2019-06-01 08:05:54,1134732791050952705,Twitter for Android,AndriyDreamer,,95,148,1511,DoaBersamaTragedi2122Mei,HukumDan mohmahfudmd,ketika yang mengerti diam liat kecuranganpasti dan akan di azab allahentah menerima nya dunia atau di akhirat kelakbenar gak prof diam melihat kebathilan itu munafikmembela kebathilan itu munafikmenyalahkan yang benar itu munafik
2019-06-01 08:00:37,1134731460953329665,Twitter Web Client,Bonita_kean,,483,557,867,DoaBersamaTragedi2122Mei DukungPRABOWO,axdwin billykoesnadi6 HMS_id ryizondeb, pasang foto asli takut dikira buzzernah gitu kan lebih afdol aamiin siapa tau ntar dapet buleya coach 
2019-06-01 07:58:12,1134730853064437760,Twitter for Android,KusniaNina,,151,286,633,DoaBersamaTragedi2122Mei,,siap 
2019-06-01 07:54:59,1134730042418720768,Twitter for Android,AndriyDreamer,,95,148,1511,DoaBersamaTragedi2122Mei StopKriminalisasiParaPurnawirawan,kanseulir,beda orang yang hanya mengejar kekuasaan dan mencari kesempataninnalilahi wainnailahirojiunzakat pun jadi dompleng 
2019-06-01 07:51:50,1134729249900773376,Twitter for Android,AndriyDreamer,,95,148,1511,DoaBersamaTragedi2122Mei StopKriminalisasiParaPurnawirawan,AzzaharaAdira Deden51910377,amburadul indonesia akhir ini 
2019-06-01 07:50:10,1134728831883833349,Twitter for Android,Ruslan86091860,,377,602,438,IbuAniHusnulKhotimah StopKriminalisasiParaPurnawirawan DoaBersamaTragedi2122Mei,putra_suma,rapatkan barisan 
2019-06-01 07:49:10,1134728579583889409,Twitter for Android,AndriyDreamer,,95,148,1511,DoaBersamaTragedi2122Mei StopKriminalisasiParaPurnawirawan,republikaonline,iye itu sudah pastitapi jika saya bertanya kembali ke bapak jika bapak tak bersalah trus di jatuhkan hukuman mati apa bapak hanya bisa bilang ya sudah itu sudah ketentuan hukum  
2019-06-01 07:46:17,1134727853692444672,Twitter for Android,AndriyDreamer,,95,148,1511,DoaBersamaTragedi2122Mei StopKriminalisasiParaPurnawirawan,iswan214,kalo dia tau bengkel dari medantinggal cari aja bengkel nya trus siapa yang masukan senpi itu ke bengkel clear masalah dan bakal keliatan akar nyaseperti nya bengkel di indonesia ini hanya ada di medan  
2019-06-01 07:43:17,1134727101121040384,Twitter for Android,MHakeem36,,16,89,846,DoaBersamaTragedi2122Mei,rizqi_property msaid_didu,laa haula wa laa quwwata illaa billaahilaliyyiladziim
2019-06-01 07:42:26,1134726885957443584,Twitter for Android,AndriyDreamer,,95,148,1511,DoaBersamaTragedi2122Mei StopKriminalisasiParaPurnawirawan,lutfimuhamad008 MichelAdamNew,sedikit nyentil kok tau bengkel dari medan ya emang bengkel hanya ada di medan kah tanda tanya besar nih wak waw 
2019-06-01 07:35:52,1134725232025989120,Twitter for iPhone,cakepmak,,1803,2186,7018,PrabowoIroni DoaBersamaTragedi2122Mei,,tindakan ironi dari kubu prabowo tak percaya media namun menggunakan bukti berupa link berita 
2019-06-01 07:35:42,1134725190464679937,Twitter for iPhone,merindudendam,,3563,4565,9526,PrabowoIroni DoaBersamaTragedi2122Mei,,tindakan ironi dari kubu prabowo tak percaya media namun menggunakan bukti berupa link berita 
2019-06-01 07:35:29,1134725138438447104,Twitter for iPhone,janganPanikdong,,5100,6454,8298,PrabowoIroni DoaBersamaTragedi2122Mei,,tindakan ironi dari kubu prabowo tak percaya media namun menggunakan bukti berupa link berita 
2019-06-01 07:10:27,1134718838426165248,Twitter for Android,donnymeiranto2,,58,459,1272,StopKriminalisasiParaPurnawirawan DoaBersamaTragedi2122Mei TiketMahalRakyatSengsara BudiKaryaDanJokowiGakBecus GanyangPKI LawanKolonialisme UsirTKATiongkokUtamakanPutraPutriBangsaSendiri,,wkwkwk hoalah le tole enek2 wae kowe ki le 
2019-06-01 06:55:43,1134715129566597120,Twitter for Android,AAurakasih,,188,387,155,DoaBersamaTragedi2122Mei DoaBersamaTragedi2122Mei,OpanMinon,folbeck2 udh di folbeck mlah di unfollow
2019-06-01 06:54:03,1134714710782164992,Twitter for Android,Dwijayani2,Indonesia,40,210,692,InternationalCriminalCourtSOS DoaBersamaTragedi2122Mei,Jay_F618,br kali ini ada mentri gak punya solusi masih dipake lagi kan rezim gila 
2019-06-01 06:47:48,1134713139084181505,Mobile Web (M2),kirejener,"Jakarta Pusat, DKI Jakarta",377,60,2766,PrabowoKalahJokowiDimintaMengalah DoaBersamaTragedi2122Mei,,tangkap prabowo 
2019-06-01 06:47:26,1134713044049596416,Mobile Web (M2),Rudiwaluyo11,,394,39,3339,PrabowoKalahJokowiDimintaMengalah DoaBersamaTragedi2122Mei,,smoga para pendukungnya bisa dibukakan matanya karena selama ini narasi yang dikembangkan selalu berhasil ditelan masyarakat meskipun harus dibungkus dengan agama 
2019-06-01 06:46:20,1134712767200485376,Mobile Web (M2),wooferred,"Jakarta Pusat, DKI Jakarta",365,43,3725,PrabowoKalahJokowiDimintaMengalah DoaBersamaTragedi2122Mei,,prabowo yang kalah kenapa juga harus jokowi yang mengalah 
2019-06-01 06:44:54,1134712408507703296,Mobile Web (M2),kirejener,"Jakarta Pusat, DKI Jakarta",377,60,2766,PrabowoKalahJokowiDimintaMengalah DoaBersamaTragedi2122Mei,,menjadi satu keberhasilan narasi yang dibangun oposisi 
2019-06-01 06:44:32,1134712314387582976,Mobile Web (M2),syahrini_andien,,390,30,2752,PrabowoKalahJokowiDimintaMengalah DoaBersamaTragedi2122Mei,,menjadi satu keberhasilan narasi yang dibangun oposisi 
2019-06-01 06:43:28,1134712045595574272,Mobile Web (M2),minhyunsc,Roleplaying purpose.,8558,4815,146150,PrabowoKalahJokowiDimintaMengalah DoaBersamaTragedi2122Mei,,demi prabowo menang massa rela turun ke jalan apalagi mendapat bayaran meskipun harus berakhir dengan adanya korban namun tetap yang dituduh bersalah adalah jokowi 
2019-06-01 06:42:22,1134711769711038464,Mobile Web (M2),wooferred,"Jakarta Pusat, DKI Jakarta",365,43,3725,PrabowoKalahJokowiDimintaMengalah DoaBersamaTragedi2122Mei,,kubu oposisi melalui para buzzernya di media sosial berupaya untuk terus memanaskan situasi sementara elite politiknya pergi dari indonesia untuk sementara waktu 
2019-06-01 06:41:14,1134711486528364546,Twitter for Android,acretta,Indonesia,175,692,1486,InternationalCriminalCourtSOS PrabowoJanganTemuiJokowi JokowiPelanggarHAM JokowiMundurlah DoaBersamaTragedi2122Mei,,nasionalisme menuju kehancuran 
2019-06-01 06:40:54,1134711400721371136,Mobile Web (M2),dinikirana7,,384,24,3935,PrabowoKalahJokowiDimintaMengalah DoaBersamaTragedi2122Mei,,demi prabowo menang massa rela turun ke jalan apalagi mendapat bayaran meskipun harus berakhir dengan adanya korban namun tetap yang dituduh bersalah adalah jokowi 
2019-06-01 06:40:09,1134711211247849472,Mobile Web (M2),ismailmar2,,19,80,2347,PrabowoKalahJokowiDimintaMengalah DoaBersamaTragedi2122Mei,,kampret emang otaknya kebalikballik 
2019-06-01 06:39:46,1134711115059945472,Mobile Web (M2),Badrut776,"Nganjuk, Indonesia",398,47,6080,PrabowoKalahJokowiDimintaMengalah DoaBersamaTragedi2122Mei,,smoga para pendukungnya bisa dibukakan matanya karena selama ini narasi yang dikembangkan selalu berhasil ditelan masyarakat meskipun harus dibungkus dengan agama 
2019-06-01 06:38:04,1134710689128337408,Twitter Web Client,notbuzzer,Indonesia,85739,48796,147368,PrabowoKalahJokowiDimintaMengalah DoaBersamaTragedi2122Mei,,cara buzzer putarbalikan fakta dengan hoax dan fitnah 
2019-06-01 06:37:36,1134710570567909377,Mobile Web (M2),Rudiwaluyo11,,394,39,3339,PrabowoKalahJokowiDimintaMengalah DoaBersamaTragedi2122Mei,,menjadi satu keberhasilan narasi yang dibangun oposisi 
